name,unit,work_units,repeats,min_ns,median_ns,p99_ns,rate_min
sum_16KB,GB/s,2.68435e+08,11,3.64104e+06,4.15646e+06,4.96133e+06,73.7249
sum_64KB,GB/s,2.68435e+08,11,2.86767e+06,3.10362e+06,3.36108e+06,93.6076
sum_192KB,GB/s,2.6837e+08,11,2.81471e+06,2.9275e+06,2.95842e+06,95.3456
sum_1024KB,GB/s,2.68435e+08,11,2.82079e+06,2.91858e+06,2.95571e+06,95.1632
sum_4096KB,GB/s,2.68435e+08,11,2.93154e+06,2.95362e+06,2.96217e+06,91.568
sum_16384KB,GB/s,2.68435e+08,11,2.96983e+06,2.989e+06,3.03404e+06,90.3874
sum_65536KB,GB/s,2.68435e+08,11,3.085e+06,3.16762e+06,3.21262e+06,87.0131
sum_262144KB,GB/s,2.68435e+08,11,3.30004e+06,3.39108e+06,3.47938e+06,81.3431
